rank,model_id,full_model_name,feature_blocks_full,regressor,preprocessing_full,result_class,cv_primary_mae,cv_shadow_mae,cv_mean_mae,cv_worst_mae,public_mae,private_mae,prediction_source,canonical_replay_status,contains_any_PLM
1,HIC_HYDRO_TITRATION__LASSO,ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set) + AROMATIC-TOPO exposed-aromatic structural topology descriptors (ESMFold Fv) + HYDRO_FIELD continuous hydrophobic-field surface descriptors (ESMFold Fv) + TITRATION_SHAPE electrostatic titration-shape descriptors (ESMFold Fv) with LASSO,ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set) + AROMATIC-TOPO exposed-aromatic structural topology descriptors (ESMFold Fv) + HYDRO_FIELD continuous hydrophobic-field surface descriptors (ESMFold Fv) + TITRATION_SHAPE electrostatic titration-shape descriptors (ESMFold Fv),LASSO,impute+StandardScaler+Lasso(no_PCA),FEATURE_LINEAR,0.4872225781431885,0.4833719610538652,0.4852972695985268,0.4872225781431885,0.4702379457310565,0.4641712708181718,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,True
2,HIC_ARO_TITRATION__LASSO,ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set) + AROMATIC-TOPO exposed-aromatic structural topology descriptors (ESMFold Fv) + TITRATION_SHAPE electrostatic titration-shape descriptors (ESMFold Fv) with LASSO,ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set) + AROMATIC-TOPO exposed-aromatic structural topology descriptors (ESMFold Fv) + TITRATION_SHAPE electrostatic titration-shape descriptors (ESMFold Fv),LASSO,impute+StandardScaler+Lasso(no_PCA),FEATURE_LINEAR,0.4893879340185224,0.4824432044355602,0.4859155692270414,0.4893879340185224,0.4799350305277475,0.4757445162156721,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,True
3,HIC_ARO_CONTINUOUS_SURFACE__LASSO,ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set) + AROMATIC-TOPO exposed-aromatic structural topology descriptors (ESMFold Fv) + continuous molecular-surface hydrophobic/chemical descriptors (ESMFold Fv) with LASSO,ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set) + AROMATIC-TOPO exposed-aromatic structural topology descriptors (ESMFold Fv) + continuous molecular-surface hydrophobic/chemical descriptors (ESMFold Fv),LASSO,impute+StandardScaler+Lasso(no_PCA),FEATURE_LINEAR,0.4822073134231601,0.4898232886862832,0.4860153010547217,0.4898232886862832,0.4799310265774686,0.4757443667060864,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,True
4,HIC_ARO_CONT_TITR__LASSO,ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set) + AROMATIC-TOPO exposed-aromatic structural topology descriptors (ESMFold Fv) + continuous molecular-surface hydrophobic/chemical descriptors (ESMFold Fv) + TITRATION_SHAPE electrostatic titration-shape descriptors (ESMFold Fv) with LASSO,ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set) + AROMATIC-TOPO exposed-aromatic structural topology descriptors (ESMFold Fv) + continuous molecular-surface hydrophobic/chemical descriptors (ESMFold Fv) + TITRATION_SHAPE electrostatic titration-shape descriptors (ESMFold Fv),LASSO,impute+StandardScaler+Lasso(no_PCA),FEATURE_LINEAR,0.4821960095627124,0.4912372446404668,0.4867166271015896,0.4912372446404668,0.4799310265774686,0.4757443667060864,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,True
5,HIC_ESM2_SEQ_AROMATIC__LASSO,ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set) + AROMATIC-TOPO exposed-aromatic structural topology descriptors (ESMFold Fv) with LASSO,ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set) + AROMATIC-TOPO exposed-aromatic structural topology descriptors (ESMFold Fv),LASSO,impute+StandardScaler+Lasso(no_PCA),FEATURE_LINEAR,0.4927303900206625,0.4808724742416768,0.4868014321311696,0.4927303900206625,0.4799350305277475,0.4757445162156721,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,True
6,HIC_ESM2_SEQ__LASSO,ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set) with LASSO,ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set),LASSO,impute+StandardScaler+Lasso(no_PCA),FEATURE_LINEAR,0.5141703750172416,0.489557681348777,0.5018640281830093,0.5141703750172416,0.520644653912147,0.5127260092304973,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,True
7,HIC_ESM2_H__LASSO,ESM-2 Heavy-chain protein-language-model embedding with LASSO,ESM-2 Heavy-chain protein-language-model embedding,LASSO,impute+StandardScaler+Lasso(no_PCA),FEATURE_LINEAR,0.5144546157057649,0.4888306190268648,0.5016426173663149,0.5144546157057649,0.5302534821978132,0.5169309822146028,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,True
8,HIC_CONSTANT__LASSO,no input features (fold-local median baseline) with LASSO,no input features (fold-local median baseline),LASSO,fold_tv_median,FEATURE_LINEAR,0.5181666666666666,0.5176481481481482,0.5179074074074074,0.5181666666666666,0.5348641975308641,0.5100864197530864,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,False
9,HIC_CONSTANT__RIDGE,no input features (fold-local median baseline) with RIDGE,no input features (fold-local median baseline),RIDGE,fold_tv_median,FEATURE_LINEAR,0.5181666666666666,0.5176481481481482,0.5179074074074074,0.5181666666666666,0.5348641975308641,0.5100864197530864,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,False
10,HIC_SEQ__RIDGE,stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set) with RIDGE,stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set),RIDGE,impute+StandardScaler+Ridge(raw),FEATURE_LINEAR,0.5294019506021663,0.5267730257826606,0.5280874881924135,0.5294019506021663,0.573304245586205,0.5616270776725183,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,False
