target,model_id,full_model_name,result_class,feature_blocks_full,feature_blocks_tokens,feature_source_files,molecular_scope,regressor,regressor_details,preprocessing_full,dimensionality_reduction,raw_dimension,effective_dimension,n_dev,n_test,cv_primary_mae,cv_shadow_mae,cv_mean_mae,cv_worst_mae,public_mae,private_mae,final_alpha,lasso_nonzero,lasso_total_features,cv_protocol,final_fit_protocol,prediction_source,canonical_replay_status,validity,historical_role,notes,eligible_main_cv_rank,contains_ESM2_Heavy_PLM,contains_AbLang2_PLM,contains_AbLingua_PLM,contains_any_PLM,contains_sequence_descriptors,contains_aromatic_structural,contains_continuous_surface,contains_hydrophobic_field,contains_titration,contains_BioEmu,contains_ProteinMPNN
TmApp,TM_CONSTANT__RIDGE,no input features (fold-local median baseline) with RIDGE,FEATURE_LINEAR,no input features (fold-local median baseline),none,n/a,,RIDGE,sklearn Ridge,fold_tv_median,none,0.0,0.0,162,162.0,3.438271604938272,3.438271604938272,3.438271604938272,3.438271604938272,3.783950617283951,3.771604938271605,69.5,,,canonical_simple_tvt_v1,FULL_DEV median Primary alpha,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,AUTHORITATIVE,postmortem_baseline,No features,True,False,False,False,False,False,False,False,False,False,False,False
TmApp,TM_CONSTANT__LASSO,no input features (fold-local median baseline) with LASSO,FEATURE_LINEAR,no input features (fold-local median baseline),none,n/a,,LASSO,sklearn Lasso (no PCA),fold_tv_median,none,0.0,0.0,162,162.0,3.438271604938272,3.438271604938272,3.438271604938272,3.438271604938272,3.783950617283951,3.771604938271605,,,0.0,canonical_simple_tvt_v1,FULL_DEV median Primary alpha,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,AUTHORITATIVE,postmortem_baseline,No features,True,False,False,False,False,False,False,False,False,False,False,False
TmApp,TM_SEQ_BASIC__RIDGE,"stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) with RIDGE",FEATURE_LINEAR,"stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries)",SEQ_BASIC,built via stage1 make_xy(SEQ_BASIC) on competition sequences,sequence,RIDGE,sklearn Ridge,impute+StandardScaler+Ridge(raw),none,78.0,78.0,162,162.0,3.1413551732337,3.1970743696495365,3.1692147714416183,3.1970743696495365,3.526859291707832,3.571235288418912,100.0,,,canonical_simple_tvt_v1,FULL_DEV median Primary alpha,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,AUTHORITATIVE,baseline,stage1 SEQ_BASIC,True,False,False,False,False,True,False,False,False,False,False,False
TmApp,TM_SEQ_BASIC__LASSO,"stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) with LASSO",FEATURE_LINEAR,"stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries)",SEQ_BASIC,built via stage1 make_xy(SEQ_BASIC) on competition sequences,sequence,LASSO,sklearn Lasso (no PCA),impute+StandardScaler+Lasso(no_PCA),none,78.0,78.0,162,162.0,3.3478520401857605,3.213741999071884,3.2807970196288223,3.3478520401857605,3.570180641037682,3.533865799862849,0.3,22.0,78.0,canonical_simple_tvt_v1,FULL_DEV median Primary alpha,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,AUTHORITATIVE,baseline,stage1 SEQ_BASIC,True,False,False,False,False,True,False,False,False,False,False,False
TmApp,TM_ABLANG2__RIDGE,AbLang2 paired heavy+light chain protein-language-model embedding with RIDGE,FEATURE_LINEAR,AbLang2 paired heavy+light chain protein-language-model embedding,AbLang2_HL_paired,virtual_participant/round1_finalization/cache/round1_embeddings.npz::ablang2__HL_paired,PLM,RIDGE,sklearn Ridge,impute+StandardScaler+Ridge(raw),none,480.0,480.0,162,162.0,2.8519581454041143,3.110806888449107,2.981382516926611,3.110806888449107,3.492876502460081,3.3535816801683733,100.0,,,canonical_simple_tvt_v1,FULL_DEV median Primary alpha,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,AUTHORITATIVE,baseline,round1/stage2 cache,True,False,True,False,True,False,False,False,False,False,False,False
TmApp,TM_ABLANG2__LASSO,AbLang2 paired heavy+light chain protein-language-model embedding with LASSO,FEATURE_LINEAR,AbLang2 paired heavy+light chain protein-language-model embedding,AbLang2_HL_paired,virtual_participant/round1_finalization/cache/round1_embeddings.npz::ablang2__HL_paired,PLM,LASSO,sklearn Lasso (no PCA),impute+StandardScaler+Lasso(no_PCA),none,480.0,480.0,162,162.0,3.177920464549421,3.436515021314268,3.307217742931845,3.436515021314268,3.507543410328569,3.5009450064416705,0.3,27.0,480.0,canonical_simple_tvt_v1,FULL_DEV median Primary alpha,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,AUTHORITATIVE,baseline,round1/stage2 cache,True,False,True,False,True,False,False,False,False,False,False,False
TmApp,TM_ABLANG2_SEQ__RIDGE,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) with RIDGE",FEATURE_LINEAR,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries)",AbLang2_HL_paired|SEQ_BASIC,virtual_participant/round1_finalization/cache/round1_embeddings.npz::ablang2__HL_paired | built via stage1 make_xy(SEQ_BASIC) on competition sequences,PLM+sequence,RIDGE,sklearn Ridge,impute+StandardScaler+Ridge(raw),none,558.0,558.0,162,162.0,2.7629769100217336,2.8973641403873263,2.83017052520453,2.8973641403873263,3.266464055413186,3.5000584900344416,100.0,,,canonical_simple_tvt_v1,FULL_DEV median Primary alpha,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,AUTHORITATIVE,mature_base,Authoritative BASE,True,False,True,False,True,True,False,False,False,False,False,False
TmApp,TM_ABLANG2_SEQ__LASSO,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) with LASSO",FEATURE_LINEAR,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries)",AbLang2_HL_paired|SEQ_BASIC,virtual_participant/round1_finalization/cache/round1_embeddings.npz::ablang2__HL_paired | built via stage1 make_xy(SEQ_BASIC) on competition sequences,PLM+sequence,LASSO,sklearn Lasso (no PCA),impute+StandardScaler+Lasso(no_PCA),none,558.0,558.0,162,162.0,2.952644897447321,2.974840698625565,2.963742798036443,2.974840698625565,3.350227322456886,3.4097053671679234,0.3,42.0,558.0,canonical_simple_tvt_v1,FULL_DEV median Primary alpha,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,AUTHORITATIVE,mature_base,Authoritative BASE,True,False,True,False,True,True,False,False,False,False,False,False
TmApp,TM_BASE_BIOEMU__RIDGE,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors with RIDGE",FEATURE_LINEAR,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors",AbLang2_HL_paired|SEQ_BASIC|BIOEMU_NEW_PAIRWISE,virtual_participant/round1_finalization/cache/round1_embeddings.npz::ablang2__HL_paired | built via stage1 make_xy(SEQ_BASIC) on competition sequences | organizer_extension/.../BIOEMU_ISOLATED_REASSESS_FEATURES.csv (ca_rmsd*),PLM+seq+ensemble,RIDGE,sklearn Ridge,impute+StandardScaler+Ridge(raw),none,568.0,568.0,162,162.0,2.728609764529513,2.864447740706632,2.7965287526180727,2.864447740706632,3.1348956756048434,3.482911833404577,100.0,,,canonical_simple_tvt_v1,FULL_DEV median Primary alpha,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,AUTHORITATIVE,strong_candidate,Registry EXACT_MATCH,True,False,True,False,True,True,False,False,False,False,True,False
TmApp,TM_BASE_BIOEMU__LASSO,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors with LASSO",FEATURE_LINEAR,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors",AbLang2_HL_paired|SEQ_BASIC|BIOEMU_NEW_PAIRWISE,virtual_participant/round1_finalization/cache/round1_embeddings.npz::ablang2__HL_paired | built via stage1 make_xy(SEQ_BASIC) on competition sequences | organizer_extension/.../BIOEMU_ISOLATED_REASSESS_FEATURES.csv (ca_rmsd*),PLM+seq+ensemble,LASSO,sklearn Lasso (no PCA),impute+StandardScaler+Lasso(no_PCA),none,568.0,568.0,162,162.0,2.8818550420177638,2.894073206694681,2.8879641243562224,2.894073206694681,3.225832442554766,3.3087009106950167,0.3,38.0,568.0,canonical_simple_tvt_v1,FULL_DEV median Primary alpha,CANONICAL_FULL_DEV_REFIT,REPLAYED_CANONICAL,AUTHORITATIVE,strong_candidate,Registry EXACT_MATCH,True,False,True,False,True,True,False,False,False,False,True,False
