target,model_id,full_model_name,result_class,cv_rank,public_rank,private_rank,public_minus_cv_rank,private_minus_cv_rank,public_private_rank_gap,cv_worst_mae,public_mae,private_mae
HIC,HIC_AROMATIC__LASSO,AROMATIC-TOPO exposed-aromatic structural topology descriptors (ESMFold Fv) with LASSO,FEATURE_LINEAR,16.0,21.0,15.0,5.0,-1.0,6.0,0.553591425663051,0.5069903908635293,0.4687542448276164
HIC,HIC__META_diversity__ridge_10.0__HIST,prediction-level meta-learner (ridge_10.0) over out-of-fold base predictions: antibody-augmented sequence descriptors (SEQ_PLUS_ANTIBODY) under support-vector regression (SVROpt); ESM-2 Heavy-chain protein-language-model embedding under support-vector regression (SVROpt); ESMFold Fv STRUCT_SURFACE_CHEM continuous surface-chemistry descriptors under support-vector regression (SVROpt); Stage-3 incremental fusion advanced surface-patch descriptors under support-vector regression (SVROpt),PREDICTION_LINEAR_BLEND,,8.0,4.0,,,4.0,,0.441432544528268,0.4323884901514161
HIC,HIC__META_performance__ridge_10.0__HIST,prediction-level meta-learner (ridge_10.0) over out-of-fold base predictions: Stage-3 incremental fusion advanced surface-patch descriptors under support-vector regression (SVROpt); HIC / FUSION_OVERALL / ESMFold / STRUCT_SURFACE_ALL / SVROpt; fused ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors under support-vector regression (SVROpt); advanced surface-patch descriptors (ADV_SURFACE_PATCH) under support-vector regression (SVROpt),PREDICTION_LINEAR_BLEND,,4.0,8.0,,,-4.0,,0.4266119633976947,0.4505211720174822
TmApp,TM_PARENT_ABLINGUA_CDR3__RIDGE,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors + ProteinMPNN sequence–structure compatibility native-score descriptors + AbLingua-600M masked-mean global heavy+light concatenated embedding + AbLingua-600M CDR3-guided residue pooling embedding with RIDGE",FEATURE_LINEAR,1.0,3.0,26.0,2.0,25.0,-23.0,2.784957206877823,3.1185249613955217,3.289917689937472
HIC,HIC_HYDRO_TITRATION__RIDGE,ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set) + AROMATIC-TOPO exposed-aromatic structural topology descriptors (ESMFold Fv) + HYDRO_FIELD continuous hydrophobic-field surface descriptors (ESMFold Fv) + TITRATION_SHAPE electrostatic titration-shape descriptors (ESMFold Fv) with RIDGE,FEATURE_LINEAR,13.0,20.0,61.0,7.0,48.0,-41.0,0.5503511666325119,0.4981619585425452,0.5700450055437412
TmApp,TM_PARENT_ABLINGUA_GLOBAL__LASSO,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors + ProteinMPNN sequence–structure compatibility native-score descriptors + AbLingua-600M masked-mean global heavy+light concatenated embedding with LASSO",FEATURE_LINEAR,17.0,19.0,9.0,2.0,-8.0,10.0,3.243738103777528,3.260223703657545,3.151212494407123
TmApp,TM_PARENT_ABLINGUA_GLOBAL__RIDGE,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors + ProteinMPNN sequence–structure compatibility native-score descriptors + AbLingua-600M masked-mean global heavy+light concatenated embedding with RIDGE",FEATURE_LINEAR,2.0,2.0,30.0,0.0,28.0,-28.0,2.822725206703513,3.106900023997267,3.326374924950283
TmApp,TM_BASE_BIOEMU__LASSO,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors with LASSO",FEATURE_LINEAR,7.0,7.0,28.0,0.0,21.0,-21.0,2.894073206694681,3.225832442554766,3.3087009106950167
HIC,HIC_ARO_TITRATION__RIDGE,ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set) + AROMATIC-TOPO exposed-aromatic structural topology descriptors (ESMFold Fv) + TITRATION_SHAPE electrostatic titration-shape descriptors (ESMFold Fv) with RIDGE,FEATURE_LINEAR,14.0,40.0,62.0,26.0,48.0,-22.0,0.5503869855629042,0.5201770021806655,0.5831413568426048
TmApp,TM_PARENT_ABLINGUA_CDR3__LASSO,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors + ProteinMPNN sequence–structure compatibility native-score descriptors + AbLingua-600M masked-mean global heavy+light concatenated embedding + AbLingua-600M CDR3-guided residue pooling embedding with LASSO",FEATURE_LINEAR,19.0,39.0,15.0,20.0,-4.0,24.0,3.3874619198943616,3.395885582230245,3.1856202605927195
