claim,evidence_tier,supporting_experiments,contradicting_experiments,evaluation_protocol,pre_or_post_external,source_paths,notes
HIC continuous regression is a valid competition target (keep continuous; do not binarize),Tier1_Established,GATE-B6.2; GATE-B6.4,,CAND_12528; SGKF_Q7; MAE primary,mixed_internal_then_holdout_confirm,gate_b6_2_hic_validity/reports/GATE_B6_2_HIC_VALIDITY_FINAL.md; gate_b6_4_hic_high_tail/reports/GATE_B6_4_FINAL.md,Decision KEEP_HIC_CONTINUOUS; HIGH n=13 data-limited
High-HIC tail (>11.5 min) is systematically underpredicted / regression-to-center,Tier1_Established,GATE-B6.2; GATE-B6.4; GATE-B7-VC,,CAND_12528; HIGH band n=13 (6/3/4),Internal diagnosis + post-holdout confirm,gate_b6_2_hic_validity/reports/03_hic_tail_performance.md; gate_b6_4_hic_high_tail/reports/GATE_B6_4_FINAL.md; gate_b7_virtual_competition/reports/GATE_B7_VIRTUAL_COMPETITION_FINAL.md,Nested upper10% MAE 1.4421 signed bias -1.4421; VC personas HIGH->LOW 0.75-1.00
Pearson is fragile for HIC due to high-tail leverage; MAE should be primary,Tier1_Established,GATE-B6.2; GATE-B7.3 Pearson sanity,,CAND_12528 / GEN_0001,Internal,gate_b6_2_hic_validity/reports/04_pearson_influence.md; gate_b7_3_principled_split/reports/08_FINAL_GEN0001_PEARSON_SANITY_AUDIT.md,Pearson diagnostic only
Production Public/Private split is GEN_0001_B_20271100 (not CAND_12528),Tier1_Established,GATE-B7.3; competition PROVENANCE,Earlier freeze recommendations for CAND_12528,model-blind principled split,Post split redesign,competition/organizer/PROVENANCE.md; gate_b7_3_principled_split/config/B7_3_RECOMMENDED_SPLIT.json,CAND_12528 scores are NOT directly comparable to GEN_0001 scores
Scores on CAND_12528 vs GEN_0001 vs canonical_simple_tvt vs V3-OOF are not directly interchangeable,Tier1_Established,protocol inventory,,multi-protocol,meta,developability_drilldown/results/experiments.csv; gate_b6_split_search/; competition/organizer/PROVENANCE.md,"Compare within protocol only; Overall=mean(Pub,Priv) shared but split differs"
Explicit SURFACE (AROMATIC_TOPO + HYDRO_FIELD) late fusion improves V3 DL HIC vs sequence-only backbones,Tier1_Established,"EXP-H082,H085,H086,H089,H090,H093",,dl_foldlocal_cosine_v3_oof_test,Pre-external freeze then external reported,developability_drilldown/results/HIC_H047_FEATURE_FUSION_REPORT.md; commit 3d0e336e,H086 Overall 0.406; permutation F1/F4 ALL_AUX ΔMAE +0.13–0.20
LOCAL_RASA alone as late-fusion aux does not help HIC Transformers,Tier1_Established,"EXP-H084,H088,H092",,dl_foldlocal_cosine_v3_oof_test,Pre-external freeze batch,developability_drilldown/results/HIC_H047_FEATURE_FUSION_REPORT.md,F3 alone worse/flat; sub-perm near zero
V3 architecture search (ESM2/Scratch × ARCH-H0..8) plateaus ~TEST_mean 0.50 without physical fusion,Tier1_Established,EXP-H054–H081,,dl_foldlocal_cosine_v3_oof_test; annotation FULL fixed,Pre-external freeze 5b8ac2c6,developability_drilldown/results/HIC_NEW_DL_MASTER_TABLE.csv; HIC_ESM2_SCRATCH_ARCHITECTURE_REPORT.md,Not TmApp factorial vocabulary
Learned geometry bias (ARCH-6G) is not a clear HIC win; near-zero at inference ablation,Tier2_Supported,EXP-H064/065/078/079; geometry-zero diagnostic,,dl_foldlocal_cosine_v3,Pre-external,developability_drilldown/results/HIC_GEOMETRY_REPORT.md; TM_HIC_GEOMETRY_ZERO_DIAGNOSTIC.md,Inconsistent signed deltas; ablation ~1e-5–1e-4
HIC gains primarily from explicit physicochemical/surface features (asymmetric vs TmApp representation/topology),Tier2_Supported,H054–H093 synthesis; T124–T129 contrast,,V3 same platform,Internal synthesis,developability_drilldown/results/TM_STRUCTURE_VS_HIC_FEATURE_SYNTHESIS.md; TM_HIC_PROMISING_MODEL_REPORT_FINAL.md,Hypothesis partially supported within this batch
