protocol_id,protocol_type,split,cv,metric,role,directly_comparable_to_future,limitations,source_paths
GEN_0001_B_20271100_EXTERNAL,split_external,GEN_0001_B_20271100,N/A (fixed Pub/Priv 81/81),MAE (Spearman secondary),EXTERNAL_DIAGNOSTIC_POST_FREEZE,YES_FOR_EXTERNAL_SCORES,Must not be used for model/HP/representation selection; HIGH n Pub/Priv sparse (4/3),competition/organizer/PROVENANCE.md; competition/organizer/SPLIT_MANIFEST.json; top_models_feature_bundle/solution.csv
GEN_0001_POPULATION,population_definition,Dev162/Test162 role_map + GEN_0001 Pub/Priv,N/A,N/A,POPULATION_FREEZE,YES,Competition N=324 HIC∧TmApp; not HIC-complete N=348,gate_b3/frozen/organizer/final_population.csv; PROVENANCE.md
CAND_12528_EXTERNAL,split_external,CAND_12528,various gate CV,MAE,HISTORICAL_ONLY,NO,Public ID overlap with GEN_0001 only 35/81; Gate B6.2/B6.4/B7 VC/TrustCV scores not portable,gate_b6_split_search/; gate_b6_2_hic_validity/; gate_b7_virtual_competition/
CAND_04974_EXTERNAL,split_external,CAND_04974,B6 search models,MAE transfer metrics,HISTORICAL_ONLY,NO,Superseded by 12528 then GEN_0001,gate_b6_split_search/frozen/FINAL_PRODUCTION_SPLIT_MANIFEST.json
DL_FOLDLOCAL_COSINE_V3_OOF,cv_internal,Dev folds (Primary/Shadow) under competition population,fold-local cosine V3 TVT OOF; seed 101,TEST_mean=mean(TEST_P TEST_S); TEST_worst,PRIMARY_MODEL_SELECTION_FOR_V3_DL,YES_WITHIN_V3_FAMILY,TEST_* are Dev OOF not GEN_0001 Pub/Priv; annotation often FULL; LR grid fixed in historical H054+,developability_drilldown/models/antibody_transformer/protocol_v3.py; experiments.csv cv_protocol=dl_foldlocal_cosine_v3_oof_test
V3_PLUS_GEN_0001_EXTERNAL_SCORE,hybrid,GEN_0001 Pub/Priv scored post-hoc from V3 preds,V3 OOF train then score solution.csv,Public/Private/Overall MAE,EXTERNAL_DIAGNOSTIC_FOR_V3_RUNS,YES_AS_DIAGNOSTIC_ONLY,Overall=mean(Pub Priv) historically reported but must not drive selection under freeze,developability_drilldown/models/antibody_transformer/metrics.py score_solution; bundle solution matches GEN_0001
CANONICAL_SIMPLE_TVT_PRIMARY_SHADOW,cv_internal,competition Dev/Test with Primary/Shadow folds,canonical_simple_tvt_primary_shadow,cv_primary/cv_shadow/cv_worst MAE,SECONDARY_OR_CLASSICAL_FAMILY,PARTIAL_WITHIN_CANONICAL_ONLY,Not comparable to V3 TEST_mean; Pub/Priv on GEN_0001 if scored via same solution,developability_drilldown/results/experiments.csv; scripts/_lib.py
SGKF_Q7_TRAIN_CV,cv_internal,CAND_12528 Train,SGKF_Q7 preferred (B6.2),MAE,HISTORICAL_GATE,NO_AS_PRIMARY,Tied to CAND_12528 era; useful design idea but not frozen as future primary,gate_b6_2_hic_validity/config/B6_2_CV_SCHEME_SELECTION.json
TRUST_CV_STRESS_CAND_12528,cv_diagnostic,CAND_12528,Trust-CV disagreement stress bank,MAE regret / TrustCV_rate,HISTORICAL_DIAGNOSTIC,NO,Split-specific; Trust-CV not demonstrated; cannot transfer verdict to GEN_0001 without redo,gate_b7_1_trust_cv/reports/GATE_B7_1_TRUST_CV_FINAL.md
PRINCIPLED_SPLIT_SEARCH_B73,split_generation_method,GEN_0001 produced here,model-blind SA + safety banks,premodel L1 / MAE regret,HISTORICAL_SPLIT_DESIGN,NO_NEW_SEARCH,Freeze uses resulting GEN_0001; do not re-run split search,gate_b7_3_principled_split/
VIRTUAL_COMPETITION_CAND_12528,process_evaluation,CAND_12528,persona submissions with live Public,Public MAE live; Private post-reveal,HISTORICAL_PROCESS,NO,Educational on overfitting; wrong split for future primary,gate_b7_virtual_competition/
HIGH_TAIL_BAND_GT_11_5,diagnostic_subset,same as parent protocol,N/A,HIGH n; HIGH MAE; signed bias; HIGH→LOW; pred/obs range,FAILURE_MODE_DIAGNOSTIC,YES_AS_DIAGNOSTIC,n≈13 globally; rates unstable; not primary optimization target,gate_b1/PROVENANCE bands; gate_b6_2 band audit; gate_b6_4
PEARSON_DIAGNOSTIC_ONLY,metric_policy,any,any,Pearson,DIAGNOSTIC_NOT_SELECTION,YES_AS_POLICY,Fragile to HIGH leverage (B6.2/B7.3),gate_b6_2_hic_validity/reports/04_pearson_influence.md; gate_b7_3 reports/08_FINAL_GEN0001_PEARSON_SANITY_AUDIT.md
