candidate_order,target,feature_set_name,blocks,estimator,stage,reason
1,TmApp,FS_TM_BIOEMU_MPNN+FB_AL_CDR3+FB_AL2_RASA_CDR+FB_AL_CDR_ALL,FS_TM_BIOEMU_MPNN|FB_AL_CDR3|FB_AL2_RASA_CDR|FB_AL_CDR_ALL,ridge,E,top feature sets × estimator panel; CV-only
2,TmApp,FS_TM_BIOEMU_MPNN+FB_AL_CDR3+FB_AL2_RASA_CDR+FB_AL_CDR_ALL,FS_TM_BIOEMU_MPNN|FB_AL_CDR3|FB_AL2_RASA_CDR|FB_AL_CDR_ALL,lasso,E,top feature sets × estimator panel; CV-only
3,TmApp,FS_TM_BIOEMU_MPNN+FB_AL_CDR3+FB_AL2_RASA_CDR+FB_AL_CDR_ALL,FS_TM_BIOEMU_MPNN|FB_AL_CDR3|FB_AL2_RASA_CDR|FB_AL_CDR_ALL,enet,E,top feature sets × estimator panel; CV-only
4,TmApp,FS_TM_BIOEMU_MPNN+FB_AL_CDR3+FB_AL2_RASA_CDR+FB_AL_CDR_ALL,FS_TM_BIOEMU_MPNN|FB_AL_CDR3|FB_AL2_RASA_CDR|FB_AL_CDR_ALL,svr,E,top feature sets × estimator panel; CV-only
5,TmApp,FS_TM_BIOEMU_MPNN+FB_AL_CDR3+FB_AL2_RASA_CDR+FB_AL_CDR_ALL,FS_TM_BIOEMU_MPNN|FB_AL_CDR3|FB_AL2_RASA_CDR|FB_AL_CDR_ALL,xgb,E,top feature sets × estimator panel; CV-only
6,TmApp,FS_TM_ABLINGUA_CDR3+FB_AL2_FR_CDR_SPLIT+FB_AL_CDR3,FS_TM_ABLINGUA_CDR3|FB_AL2_FR_CDR_SPLIT|FB_AL_CDR3,ridge,E,top feature sets × estimator panel; CV-only
7,TmApp,FS_TM_ABLINGUA_CDR3+FB_AL2_FR_CDR_SPLIT+FB_AL_CDR3,FS_TM_ABLINGUA_CDR3|FB_AL2_FR_CDR_SPLIT|FB_AL_CDR3,lasso,E,top feature sets × estimator panel; CV-only
8,TmApp,FS_TM_ABLINGUA_CDR3+FB_AL2_FR_CDR_SPLIT+FB_AL_CDR3,FS_TM_ABLINGUA_CDR3|FB_AL2_FR_CDR_SPLIT|FB_AL_CDR3,enet,E,top feature sets × estimator panel; CV-only
9,TmApp,FS_TM_ABLINGUA_CDR3+FB_AL2_FR_CDR_SPLIT+FB_AL_CDR3,FS_TM_ABLINGUA_CDR3|FB_AL2_FR_CDR_SPLIT|FB_AL_CDR3,svr,E,top feature sets × estimator panel; CV-only
10,TmApp,FS_TM_ABLINGUA_CDR3+FB_AL2_FR_CDR_SPLIT+FB_AL_CDR3,FS_TM_ABLINGUA_CDR3|FB_AL2_FR_CDR_SPLIT|FB_AL_CDR3,xgb,E,top feature sets × estimator panel; CV-only
11,TmApp,ALONE__FB_AL2_RASA_P1,FB_AL2_RASA_P1,ridge,E,top feature sets × estimator panel; CV-only
12,TmApp,ALONE__FB_AL2_RASA_P1,FB_AL2_RASA_P1,lasso,E,top feature sets × estimator panel; CV-only
13,TmApp,ALONE__FB_AL2_RASA_P1,FB_AL2_RASA_P1,enet,E,top feature sets × estimator panel; CV-only
14,TmApp,ALONE__FB_AL2_RASA_P1,FB_AL2_RASA_P1,svr,E,top feature sets × estimator panel; CV-only
15,TmApp,ALONE__FB_AL2_RASA_P1,FB_AL2_RASA_P1,xgb,E,top feature sets × estimator panel; CV-only
16,TmApp,ALONE__FB_AL2_FR_CDR_SPLIT,FB_AL2_FR_CDR_SPLIT,ridge,E,top feature sets × estimator panel; CV-only
17,TmApp,ALONE__FB_AL2_FR_CDR_SPLIT,FB_AL2_FR_CDR_SPLIT,lasso,E,top feature sets × estimator panel; CV-only
18,TmApp,ALONE__FB_AL2_FR_CDR_SPLIT,FB_AL2_FR_CDR_SPLIT,enet,E,top feature sets × estimator panel; CV-only
19,TmApp,ALONE__FB_AL2_FR_CDR_SPLIT,FB_AL2_FR_CDR_SPLIT,svr,E,top feature sets × estimator panel; CV-only
20,TmApp,ALONE__FB_AL2_FR_CDR_SPLIT,FB_AL2_FR_CDR_SPLIT,xgb,E,top feature sets × estimator panel; CV-only
21,HIC,ALONE__FB_ESM2_GLOBAL,FB_ESM2_GLOBAL,ridge,E,top feature sets × estimator panel; CV-only
22,HIC,ALONE__FB_ESM2_GLOBAL,FB_ESM2_GLOBAL,lasso,E,top feature sets × estimator panel; CV-only
23,HIC,ALONE__FB_ESM2_GLOBAL,FB_ESM2_GLOBAL,enet,E,top feature sets × estimator panel; CV-only
24,HIC,ALONE__FB_ESM2_GLOBAL,FB_ESM2_GLOBAL,svr,E,top feature sets × estimator panel; CV-only
25,HIC,ALONE__FB_ESM2_GLOBAL,FB_ESM2_GLOBAL,xgb,E,top feature sets × estimator panel; CV-only
26,HIC,ALONE__FB_ESM2_RASA_P1,FB_ESM2_RASA_P1,ridge,E,top feature sets × estimator panel; CV-only
27,HIC,ALONE__FB_ESM2_RASA_P1,FB_ESM2_RASA_P1,lasso,E,top feature sets × estimator panel; CV-only
28,HIC,ALONE__FB_ESM2_RASA_P1,FB_ESM2_RASA_P1,enet,E,top feature sets × estimator panel; CV-only
29,HIC,ALONE__FB_ESM2_RASA_P1,FB_ESM2_RASA_P1,svr,E,top feature sets × estimator panel; CV-only
30,HIC,ALONE__FB_ESM2_RASA_P1,FB_ESM2_RASA_P1,xgb,E,top feature sets × estimator panel; CV-only
31,HIC,FS_HIC_HYDRO_TITRATION+FB_ESM2_RASA_CDR3,FS_HIC_HYDRO_TITRATION|FB_ESM2_RASA_CDR3,ridge,E,top feature sets × estimator panel; CV-only
32,HIC,FS_HIC_HYDRO_TITRATION+FB_ESM2_RASA_CDR3,FS_HIC_HYDRO_TITRATION|FB_ESM2_RASA_CDR3,lasso,E,top feature sets × estimator panel; CV-only
33,HIC,FS_HIC_HYDRO_TITRATION+FB_ESM2_RASA_CDR3,FS_HIC_HYDRO_TITRATION|FB_ESM2_RASA_CDR3,enet,E,top feature sets × estimator panel; CV-only
34,HIC,FS_HIC_HYDRO_TITRATION+FB_ESM2_RASA_CDR3,FS_HIC_HYDRO_TITRATION|FB_ESM2_RASA_CDR3,svr,E,top feature sets × estimator panel; CV-only
35,HIC,FS_HIC_HYDRO_TITRATION+FB_ESM2_RASA_CDR3,FS_HIC_HYDRO_TITRATION|FB_ESM2_RASA_CDR3,xgb,E,top feature sets × estimator panel; CV-only
36,HIC,FS_HIC_CONTINUOUS_SURFACE+FB_ESM2_RASA_CDR3,FS_HIC_CONTINUOUS_SURFACE|FB_ESM2_RASA_CDR3,ridge,E,top feature sets × estimator panel; CV-only
37,HIC,FS_HIC_CONTINUOUS_SURFACE+FB_ESM2_RASA_CDR3,FS_HIC_CONTINUOUS_SURFACE|FB_ESM2_RASA_CDR3,lasso,E,top feature sets × estimator panel; CV-only
38,HIC,FS_HIC_CONTINUOUS_SURFACE+FB_ESM2_RASA_CDR3,FS_HIC_CONTINUOUS_SURFACE|FB_ESM2_RASA_CDR3,enet,E,top feature sets × estimator panel; CV-only
39,HIC,FS_HIC_CONTINUOUS_SURFACE+FB_ESM2_RASA_CDR3,FS_HIC_CONTINUOUS_SURFACE|FB_ESM2_RASA_CDR3,svr,E,top feature sets × estimator panel; CV-only
40,HIC,FS_HIC_CONTINUOUS_SURFACE+FB_ESM2_RASA_CDR3,FS_HIC_CONTINUOUS_SURFACE|FB_ESM2_RASA_CDR3,xgb,E,top feature sets × estimator panel; CV-only
